date,time,stock_symbol,stock_exchange,sector,headline_id,category,source,sentiment,impact_score,confidence_score,affected_symbols
2025-07-07,11:26:53,AVA,NASDAQ,Healthcare,H0899,Macroeconomic,Reuters,Positive,0.509,0.66,NAMS;BIL
2025-07-07,11:06:24,INOD,BATS,Finance,H0900,Leadership Change,Reuters,Negative,0.363,0.92,KULR
2025-07-07,13:33:31,OGN,LSE,Technology,H0901,Macroeconomic,Benzinga,Negative,0.433,0.71,CCCS;CRDO;NUVB;ESI
2025-07-07,15:01:40,KBE,BATS,Utilities,H0902,Product Launch,Social Media,Negative,0.336,0.78,
2025-07-07,14:12:43,JHX,NYSE,Consumer Discretionary,H0903,Regulation,WSJ,Positive,0.566,0.84,
2025-07-07,14:42:21,AVTR,BATS,Technology,H0904,Regulation,CNBC,Negative,0.604,0.6,VNET;YUM;DEVS
2025-07-07,16:13:26,ZS,BATS,Real Estate,H0905,Rumor,Benzinga,Positive,0.546,0.81,
2025-07-07,15:57:15,WSM,NYSE,Consumer Discretionary,H0906,Macroeconomic,Reuters,Negative,0.28,0.56,PBR;MRC;DHF;RDFN
2025-07-07,13:12:20,ICHR,LSE,Energy,H0907,Earnings,CNBC,Positive,0.871,0.61,ETSY;ORLA;PARA;UE
2025-07-07,14:46:29,BE,NYSE ARCA,Real Estate,H0908,Earnings,Social Media,Positive,0.568,0.71,WIT;UBS;HOOD;EC;LAMR
2025-07-07,09:21:58,EZU,NASDAQ,Healthcare,H0909,Macroeconomic,CNBC,Negative,0.748,0.64,SPMO;DDL;AMX
2025-07-07,13:00:41,BOX,NYSE,Industrial,H0910,Rumor,Bloomberg,Positive,0.165,0.75,TJX
2025-07-07,14:18:00,TTMI,BATS,Healthcare,H0911,Product Launch,WSJ,Positive,0.757,0.83,OCUL;MAT;PHYS
2025-07-07,11:46:09,UDR,BATS,Finance,H0912,Earnings,CNBC,Negative,0.295,0.88,DG;SPLG;WFRD
2025-07-07,10:27:06,ENTG,LSE,Energy,H0913,M&A,Bloomberg,Positive,0.108,0.67,CDE;GFS;SPIB
2025-07-07,14:14:17,SDVY,BATS,Healthcare,H0914,Product Launch,Reuters,Neutral,0.207,0.65,TCAF
2025-07-07,09:40:52,YALA,NYSE,Consumer Discretionary,H0915,Leadership Change,CNBC,Negative,0.866,0.75,SPXS;SBH
2025-07-07,15:19:22,ZVSA,NASDAQ,Industrial,H0916,Regulation,WSJ,Neutral,0.293,0.74,FNF
2025-07-07,13:02:16,CI,NYSE,Utilities,H0917,Leadership Change,WSJ,Negative,0.692,0.57,OR
2025-07-07,11:31:51,INZY,NYSE,Consumer Discretionary,H0918,Earnings,WSJ,Positive,0.543,0.79,TEX;DK;SHYG;FUTU;OGE
2025-07-07,12:10:45,GME,BATS,Industrial,H0919,Product Launch,Reuters,Negative,0.13,0.65,MBB;BSX
2025-07-07,12:10:45,DVYE,BATS,Industrial,H0919,Product Launch,Reuters,Negative,0.13,0.65,NIO;NSC;OHI;FVRR;ZVSA
2025-07-07,12:10:45,SPYG,BATS,Industrial,H0919,Product Launch,Reuters,Negative,0.13,0.65,C;TXRH
2025-07-07,12:10:45,THS,BATS,Industrial,H0919,Product Launch,Reuters,Negative,0.13,0.65,KMI;GLD;CWAN;GENI
